list,table,field,label,type,size,default,filter,relation,rel_uid,rel_field,other_table,other_field,show_field
,Post,id,P_ID,noop,,,,,$id,employee_id,,,
,Employee,id,E_ID,hide,,,status = 'ACTV',,,,,,
1,Employee,opendoor_employee_code,Employee Number,hide,20,,status = 'ACTV',,,,,,
,,,,,,,,,,,,,
,Employee,title,Title,edit,7,,status = 'ACTV',,,,,,
,Employee,forename,Forename,edit,,,status = 'ACTV',,,,,,
,Employee,surname,Surname,edit,,,status = 'ACTV',,,,,,
,Employee,initials,Initials,edit,5,,status = 'ACTV',,,,,,
2,Employee,fullname,FullName,edit,,,status = 'ACTV',,,,,,
3,Employee,email,Email,edit,,,status = 'ACTV',,,,,,
,Employee,webauth_code,WebAuth ID,edit,5,,status = 'ACTV',,,,,,
4,Employee,status,Status,edit,,,status = 'ACTV',,,,,,
,,,,,,,,,,,,,
,Post,dept_stint_obligation,Obligation,edit,5,,,,$id,employee_id,,,
5,Post,staff_classification_id,Classification,pull,,,,,$id,employee_id,StaffClassification,id,staff_classification_name
,Post,startdate,Start Date,noop,,,,,$id,employee_id,,,
,Post,person_status,P Status,noop,,,,,$id,employee_id,,,
